%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1678311224371780002,176,1677825034883761644,camera_1,179,0,0.12323380962357425,-0.32155147712292526,2.642943636840522,0.7041914960707545,0.7062712097280425,0.03411580865169273,0.06427617576490574,0.006686621985863894,0.0012236999467177942,10659.189551701307
1678311224378454112,177,1677825034890496969,camera_1,180,0,0.12319212920175229,-0.32138346983342503,2.641737519831755,0.7038434353224087,0.706314970042345,0.03367814421880785,0.06774484666458855,0.004547352727968246,0.0008322283595223015,10660.752089198912
1678311224384373803,178,1677825034896349191,camera_1,181,0,0.1232098413812721,-0.3214251647017067,2.6416775700243336,0.7038727592947067,0.7062128272688961,0.03490520058178181,0.06788378522205238,0.003396115789655596,0.0006215551872633809,10659.328924388861
1678311224390923177,179,1677825034903126478,camera_1,182,0,0.12323507839488315,-0.3213394767308079,2.6409102414744754,0.7038681379459806,0.7061183077799704,0.034351459976479225,0.06918494778413307,0.003169419476762414,0.0005799047906137551,10662.761355633262
1678311224398620522,180,1677825034910499572,camera_1,183,0,0.12325654634186778,-0.32137502949843766,2.641245212748432,0.7040540005899686,0.7062455480088639,0.03474185184032232,0.0657129660084319,0.00415496074128896,0.0007598384181122079,10668.52353097382
1678311224406610848,181,1677825034917077779,camera_1,184,0,0.12333413136102599,-0.32152909992734746,2.6427570795217696,0.7040571378057943,0.7062420144181006,0.033617512057240624,0.0662995223094224,0.003503789252135903,0.0006415233708542401,10656.257913698675
1678311224411736591,182,1677825034923938274,camera_1,185,0,0.12320750305893169,-0.3213148843029904,2.641015015008383,0.7038659805582852,0.7062918942802313,0.03471273547347626,0.06722698478077767,0.002200111746788025,0.0004024083123385196,10666.618690301546
1678311224417981809,183,1677825034930506706,camera_1,186,0,0.12324425823623653,-0.32147319211486775,2.642361164843725,0.7040743772511442,0.7062439657046781,0.03335927655324171,0.06622605885893722,0.004086848173756152,0.000748014180802899,10659.96107619151
1678311224424398765,184,1677825034936291694,camera_1,187,0,0.12316807550178469,-0.3213527801739874,2.6412873928420173,0.7038729619391038,0.7063514196752618,0.03461466068462676,0.06657590134202923,0.0030875058146193624,0.0005647185754789325,10666.213265242288
1678311224430881162,185,1677825034943076372,camera_1,188,0,0.12327940247823643,-0.3215587588796089,2.6431948026735554,0.7041550587241161,0.7064218383754394,0.028520007855883156,0.06573012012313348,0.008080620900727808,0.001479638961502846,10659.711719778012
1678311224441010288,186,1677825034950578927,camera_1,189,0,0.12320494643713666,-0.3213688794864784,2.641523684442299,0.7039401257699003,0.706411965130101,0.033748392315733323,0.06566186768733659,0.007275325478985906,0.0013306361147557499,10667.670033357805
1678311224444767294,187,1677825034957170009,camera_1,190,0,0.12322257756314788,-0.32137234902023143,2.6415660476052043,0.7039089286626279,0.706295615419116,0.03318654019423786,0.06750835014055567,0.004974343697540462,0.000910218094193955,10663.307652567048
1678311224451903749,188,1677825034963759183,camera_1,191,0,0.12316032800133644,-0.3212324693685751,2.6400584207284727,0.7038218792967393,0.7062510734593533,0.0364623316793068,0.06719138210533718,0.005382216942962259,0.0009836135573508575,10672.16040625644
1678311224457150316,189,1677825034969747304,camera_1,192,0,0.12318439008477285,-0.3212920109502935,2.6406510616378305,0.7039136157174544,0.7061587966157352,0.03688836905492381,0.06696733381481473,0.0031644537230022256,0.0005785849548917037,10667.401825492965
1678311224465212717,190,1677825034976616382,camera_1,193,0,0.12321689304680031,-0.3213682007583545,2.641430666582673,0.7039449695317473,0.7063285679732151,0.032517428337286096,0.06711222534072414,0.005204763438086957,0.0009522077151750347,10666.18104686088
1678311224471450463,191,1677825034983732461,camera_1,194,0,0.12327684879752783,-0.3215168657490238,2.6425318708769865,0.7039161145462088,0.706297496037236,0.03570867075164804,0.06611234080600925,0.0026865600957535207,0.0004917745596664329,10655.954070650045
1678311224477718100,192,1677825034989924907,camera_1,195,0,0.12320895472938825,-0.3213888800967953,2.6415741964939143,0.7040255919215828,0.7061558260780401,0.0350352800828635,0.06681649770095144,0.0024534271215088665,0.0004488584061578276,10662.755437282263
1678311224484410508,193,1677825034996572017,camera_1,196,0,0.12326837501444843,-0.3215560561505648,2.6430808117562417,0.7041196636135596,0.7062841863287407,0.03349215026371464,0.06524127010864478,0.003772341297008097,0.0006906749088932787,10656.475874980566
1678311224491219340,194,1677825035003214836,camera_1,197,0,0.12323299067589277,-0.32144069074984416,2.6422756960929528,0.7040830065934026,0.7062846915755324,0.03258680651258936,0.06608444835027914,0.003414947830606252,0.0006250112351122513,10661.928222855204
1678311224497633503,195,1677825035009919881,camera_1,198,0,0.1232055013406233,-0.32134904982161017,2.6411681844617747,0.7038079180997334,0.7062478082824676,0.03562295595260814,0.0678192651503119,0.0038665124448016286,0.000707351443443837,10662.701150066912
1678311224505060215,196,1677825035016564369,camera_1,199,0,0.12326613396729397,-0.32144557273910934,2.6420862716923157,0.703960241926209,0.7061303874774985,0.035110210412625464,0.06772833079924931,0.003550402063410729,0.0006499811164095579,10656.199778720036
1678311224510768149,197,1677825035023276329,camera_1,200,0,0.12321554336079155,-0.32130121157692526,2.6407331085293717,0.7039058252777501,0.7062293541366396,0.03465610938544439,0.0674955004282401,0.007626964128576217,0.0013946209947079042,10668.246959297452
1678311224518261769,198,1677825035029927730,camera_1,201,0,0.12321220481344133,-0.3213463028321727,2.6409983790697753,0.7039028159935147,0.7060375010072321,0.03675151104460031,0.0684192899977915,0.003252432041335851,0.0005950331883153871,10661.016982762376
1678311224525235774,199,1677825035037101984,camera_1,202,0,0.1231969763343247,-0.32133206554059657,2.64113956299242,0.7037827034214377,0.7062939822501103,0.03543293194376006,0.06769951503491446,0.0034753383370116353,0.0006357491301344851,10663.496594786524
